NAME,E_KS (1st),E_Free,Spin,Gap,N_Au,N_Ag,DE1stStep,DE1stSteppa,EEFinal,EEFinalpa,DE_Bulk,DE_Bulk_peratom,NBONDS,AVBONDLEN,NAGAGBONDS,AVAGAGBONDLEN,AGAGRATIO,NAGAUBONDS,AVAGAUBONDLEN,AGAURATIO,NAUAUBONDS,AVAUAUBONDLEN,AUAURATIO,Type,NAG,NAU,Dir,Conf,Schoenflies symbol,CSM,RMS
deca_Ag_04_Au_09_config_309,-12083.4751,-12085.51894,0.99741,0.19941,9,4,-0.93049231,-0.07157633,-2.67001692,-0.20538592,-14.240937,-1.095457,34,2.8175805,4,2.8173084,0.1176,17,2.8427286,0.5,13,2.7847786,0.3824,Deca,4,9,Ag_04,deca_Ag_04_Au_09_config_309,NO,NA,NA
deca_Ag_04_Au_09_config_310,-12083.6432,-12084.64654,0.99517,0.18073,9,4,-1.09859231,-0.0845071,-1.79761692,-0.13827823,-13.368537,-1.028349,35,2.837368,1,2.9078085,0.0286,20,2.8416796,0.5714,14,2.8261788,0.4,Deca,4,9,Ag_04,deca_Ag_04_Au_09_config_310,NO,NA,NA
deca_Ag_04_Au_09_config_311,-12083.4718,-12083.86319,0.99641,0.1896,9,4,-0.92719231,-0.07132249,-1.01426692,-0.07802053,-12.585185,-0.968091,37,2.8524458,3,2.8906963,0.0811,16,2.7899914,0.4324,18,2.9015861,0.4865,Deca,4,9,Ag_04,deca_Ag_04_Au_09_config_311,C2v,0.0279,0.0167
deca_Ag_04_Au_09_config_312,-12083.7119,-12084.61921,0.99821,0.21069,9,4,-1.16729231,-0.08979172,-1.77028692,-0.13617592,-13.341208,-1.026247,32,2.8131144,1,2.8642545,0.0313,18,2.8013799,0.5625,13,2.825429,0.4063,Deca,4,9,Ag_04,deca_Ag_04_Au_09_config_312,C2,0.0002,0.0015
deca_Ag_04_Au_09_config_313,-12083.6825,-12085.3895,0.99638,0.18969,9,4,-1.13789231,-0.08753018,-2.54057692,-0.19542899,-14.111503,-1.0855,33,2.8094587,1,2.9111781,0.0303,18,2.780324,0.5455,14,2.8396516,0.4242,Deca,4,9,Ag_04,deca_Ag_04_Au_09_config_313,NO,NA,NA
deca_Ag_04_Au_09_config_314,-12082.97013,-12085.20494,1.00048,0.02093,9,4,-0.42552231,-0.03273249,-2.35601692,-0.18123207,-13.926939,-1.071303,36,2.8428121,5,2.7879026,0.1389,14,2.8877559,0.3889,17,2.8219488,0.4722,Deca,4,9,Ag_04,deca_Ag_04_Au_09_config_314,NO,NA,NA
deca_Ag_04_Au_09_config_315,-12082.9516,-12085.06265,0.99826,0.21138,9,4,-0.40699231,-0.0313071,-2.21372692,-0.17028669,-13.784647,-1.060357,34,2.8097758,4,2.8292496,0.1176,14,2.8112924,0.4118,16,2.8035808,0.4706,Deca,4,9,Ag_04,deca_Ag_04_Au_09_config_315,NO,NA,NA
deca_Ag_04_Au_09_config_316,-12083.0768,-12085.45959,0.98949,0.15728,9,4,-0.53219231,-0.04093787,-2.61066692,-0.20082053,-14.181592,-1.090892,37,2.849005,5,2.8283939,0.1351,17,2.8986607,0.4595,15,2.7995985,0.4054,Deca,4,9,Ag_04,deca_Ag_04_Au_09_config_316,NO,NA,NA
deca_Ag_04_Au_09_config_317,-12083.2805,-12085.48496,0.99221,0.16627,9,4,-0.73589231,-0.0566071,-2.63603692,-0.20277207,-14.206958,-1.092843,35,2.8230815,4,2.85798,0.1143,17,2.8223259,0.4857,14,2.8140271,0.4,Deca,4,9,Ag_04,deca_Ag_04_Au_09_config_317,NO,NA,NA
deca_Ag_04_Au_09_config_318,-12083.3516,-12085.42195,0.99012,0.15915,9,4,-0.80699231,-0.06207633,-2.57302692,-0.19792515,-14.143949,-1.087996,34,2.8137767,3,2.8947704,0.0882,17,2.8043211,0.5,14,2.8079035,0.4118,Deca,4,9,Ag_04,deca_Ag_04_Au_09_config_318,NO,NA,NA
deca_Ag_04_Au_09_config_319,-12083.2286,-12085.53076,0.99186,0.16499,9,4,-0.68399231,-0.05261479,-2.68183692,-0.20629515,-14.252764,-1.096366,36,2.836628,3,2.8865139,0.0833,18,2.8290274,0.5,15,2.8357711,0.4167,Deca,4,9,Ag_04,deca_Ag_04_Au_09_config_319,NO,NA,NA
deca_Ag_04_Au_09_config_320,-12083.4854,-12085.37808,0.99461,0.17741,9,4,-0.94079231,-0.07236864,-2.52915692,-0.19455053,-14.100084,-1.084622,36,2.8329635,5,2.9181309,0.1389,17,2.8305936,0.4722,14,2.8054245,0.3889,Deca,4,9,Ag_04,deca_Ag_04_Au_09_config_320,NO,NA,NA
deca_Ag_04_Au_09_config_321,-12083.4666,-12085.5863,0.99747,0.20015,9,4,-0.92199231,-0.07092249,-2.73737692,-0.21056746,-14.3083,-1.100638,34,2.8202801,3,2.8807576,0.0882,18,2.806016,0.5294,13,2.8260744,0.3824,Deca,4,9,Ag_04,deca_Ag_04_Au_09_config_321,NO,NA,NA
