"","NAME","E_KS..1st.","E_Free","Spin","Gap","N_Au","N_Ag","DE1stStep","DE1stSteppa","EEFinal","EEFinalpa","DE_Bulk","DE_Bulk_peratom","NBONDS","AVBONDLEN","NAGAGBONDS","AVAGAGBONDLEN","AGAGRATIO","NAGAUBONDS","AVAGAUBONDLEN","AGAURATIO","NAUAUBONDS","AVAUAUBONDLEN","AUAURATIO","Type","First"
"1541","Ag_10_ICO_AgIco10_Au3_top_face_bottom",-12643.7662,-12644.0301,0.9994,0.187,3,10,-0.938031,-0.072156,-1.13366,-0.087205,-18.214,-1.401,41,2.873,25,2.8399,0.6098,16,2.9247,0.3902,0,0,0,"ICO","E_1st"
"1601","Ag_11_ICO_AgIco11_Au2_top_bottom",-12736.8885,-12737.0341,3,0.0886,2,11,-0.714154,-0.054935,-0.80514,-0.061934,-18.795,-1.446,42,2.8761,30,2.8543,0.7143,12,2.9305,0.2857,0,0,0,"ICO","E_1st"
"1631","Ag_12_ICO_AgIco12_Au1_face",-12829.7295,-12829.8758,3.0003,0.0931,1,12,-0.208977,-0.016075,-0.314328,-0.024179,-19.214,-1.478,42,2.8794,36,2.8704,0.8571,6,2.9334,0.1429,0,0,0,"ICO","E_1st"
"1641","Ico_Ag13_Au00",-12922.8667,-12922.894,5,0.4343,0,13,0,0,0,0,-19.809,-1.524,42,2.8637,42,2.8637,1,0,0,0,0,0,0,"ICO","E_1st"
"12","deca_Ag_00_Au_13_config_301",-11709.4871,-11709.73264,0.999407,0.24287,13,0,0,0,0,0,-8.146639,-0.626665,37,2.8566728,0,0,0,0,0,0,37,2.8566728,1,"Deca","E_Final"
"21","deca_Ag_01_Au_12_config_301",-11803.037178,-11805.33818,1.00062,0.41522,12,1,-0.285701076922,-0.021977005917,-2.326469230769,-0.178959171598,-11.329175,-0.871475,33,2.8181951,0,0,0,5,2.7657592,0.1515,28,2.8275585,0.8485,"Deca","E_Final"
"8","deca_Ag_02_Au_11_config_304",-11896.5528,-11898.78395,0.996298,0.18866,11,2,-0.536946153845,-0.041303550296,-2.493168461539,-0.191782189349,-12.35195,-0.95015,36,2.8462524,1,3.0637958,0.0278,12,2.8322728,0.3333,23,2.8440888,0.6389,"Deca","E_Final"
"27","deca_Ag_03_Au_10_config_313",-11990.233761,-11992.32682,0.999834,0.03532,10,3,-0.953530230769,-0.07334847929,-2.756967692309,-0.21207443787,-13.471823,-1.036294,36,2.838995,2,2.9563193,0.0556,17,2.8273606,0.4722,17,2.8368263,0.4722,"Deca","E_Final"
"681","deca_Ag_04_Au_09_config_330",-12083.3326,-12085.77042,0.992837,0.16886,9,4,-0.787992307691,-0.060614792899,-2.921496923078,-0.224730532544,-14.492416,-1.114801,37,2.8485966,5,2.9931686,0.1351,21,2.8392837,0.5676,11,2.8006604,0.2973,"Deca","E_Final"
"118","deca_Ag_05_Au_08_config_327",-12176.8174,-12179.34308,0.998729,0.22094,8,5,-1.008415384615,-0.077570414201,-3.215086153847,-0.247314319527,-15.642083,-1.203237,34,2.8186238,6,2.9214122,0.1765,22,2.8116953,0.6471,6,2.741236,0.1765,"Deca","E_Final"
"283","deca_Ag_06_Au_07_config_405",-12270.1364,-12272.43562,0.998897,0.22501,7,6,-1.063038461536,-0.081772189349,-3.028555384617,-0.232965798817,-16.311617,-1.25474,36,2.8350194,7,2.8547287,0.1944,21,2.8120294,0.5833,8,2.8781257,0.2222,"Deca","E_Final"
"373","deca_Ag_07_Au_06_config_381",-12363.552314,-12365.59584,1.076713,0.06166,6,7,-1.214575538461,-0.093428887574,-2.909704615386,-0.223823431953,-17.048835,-1.311449,36,2.830101,7,2.8168983,0.1944,25,2.835278,0.6944,4,2.8208506,0.1111,"Deca","E_Final"
"484","deca_Ag_08_Au_05_config_378",-12456.9141,-12458.88329,0.991582,0.16399,5,8,-1.311984615384,-0.100921893491,-2.918083846154,-0.224467988166,-17.913287,-1.377945,38,2.8519685,19,2.9046903,0.5,17,2.7941461,0.4474,2,2.8426023,0.0526,"Deca","E_Final"
"501","deca_Ag_09_Au_04_config_308",-12549.421957,-12551.89816,1.004307,1.61499,4,9,-0.555464692306,-0.042728053254,-2.653883076924,-0.204144852071,-18.505158,-1.423474,37,2.8397698,19,2.8577621,0.5135,17,2.820085,0.4595,1,2.8325734,0.027,"Deca","E_Final"
"561","deca_Ag_10_Au_03_config_315",-12642.6607,-12644.86258,0.993673,0.17257,3,10,-0.52983076923,-0.040756213018,-2.339232307695,-0.179940946746,-19.046578,-1.465121,38,2.8513443,24,2.8736255,0.6316,14,2.8131487,0.3684,0,0,0,"Deca","E_Final"
"576","deca_Ag_11_Au_02_config_306",-12735.9781,-12737.11699,0.998191,0.21005,2,11,-0.582853846154,-0.044834911243,-1.314571538464,-0.101120887574,-18.877994,-1.452153,35,2.8381534,28,2.8449576,0.8,6,2.7608776,0.1714,1,3.1112845,0.0286,"Deca","E_Final"
"583","deca_Ag_12_Au_01_config_303",-12829.0136,-12830.26446,0.999972,0.19833,1,12,-0.353976923076,-0.027228994083,-1.182970769232,-0.090997751479,-19.602456,-1.507881,35,2.8284178,31,2.8336837,0.8857,4,2.7876081,0.1143,0,0,0,"Deca","E_Final"
"584","deca_Ag_13_Au_00_config_301",-12921.924,-12922.36056,0.999015,0.22694,0,13,0,0,0,0,-19.275563,-1.482736,37,2.8437507,37,2.8437507,1,0,0,0,0,0,0,"Deca","E_Final"
"13","deca_Ag_00_Au_13_config_301",-11709.4871,-11709.73264,0.999407,0.24287,13,0,0,0,0,0,-8.146639,-0.626665,37,2.8566728,0,0,0,0,0,0,37,2.8566728,1,"Deca","E_1st"
"31","deca_Ag_01_Au_12_config_302",-11803.1677,-11803.54793,0.998914,0.22359,12,1,-0.416223076922,-0.032017159763,-0.536219230769,-0.041247633136,-9.538932,-0.733764,37,2.8466344,0,0,0,12,2.8439543,0.3243,25,2.8479202,0.6757,"Deca","E_1st"
"51","deca_Ag_02_Au_11_config_301",-11896.8004,-11898.37799,0.988958,0.1558,11,2,-0.784546153845,-0.060349704142,-2.08720846154,-0.160554497042,-11.94599,-0.918922,31,2.8060765,0,0,0,12,2.8235531,0.3871,19,2.7950385,0.6129,"Deca","E_1st"
"15","deca_Ag_03_Au_10_config_301",-11990.5396,-11990.93382,0.994862,0.17864,10,3,-1.259369230769,-0.096874556213,-1.363967692309,-0.104920591716,-12.07882,-0.92914,37,2.8492489,2,2.8903501,0.0541,20,2.8194761,0.5405,15,2.883466,0.4054,"Deca","E_1st"
"44","deca_Ag_04_Au_09_config_306",-12085.4069,-12085.46684,0.99431,0.17579,9,4,-2.862292307691,-0.220176331361,-2.617916923076,-0.201378224852,-14.188839,-1.091449,34,2.8130898,4,2.852299,0.1176,17,2.8264246,0.5,13,2.7835875,0.3824,"Deca","E_1st"
"98","deca_Ag_05_Au_08_config_307",-12178.5976,-12178.59765,0.996162,0.18761,8,5,-2.788615384614,-0.21450887574,-2.469656153846,-0.189973550296,-14.896647,-1.145896,37,2.852906,7,2.8654647,0.1892,18,2.8616984,0.4865,12,2.8323908,0.3243,"Deca","E_1st"
"259","deca_Ag_06_Au_07_config_381",-12272.1557,-12272.15688,0.9994,0.24318,7,6,-3.082338461536,-0.23710295858,-2.749815384617,-0.211524260355,-16.03288,-1.233298,33,2.8041036,6,2.786638,0.1818,20,2.7929575,0.6061,7,2.8509192,0.2121,"Deca","E_1st"
"329","deca_Ag_07_Au_06_config_337",-12365.1301,-12365.15822,0.994511,0.17686,6,7,-2.792361538461,-0.21479704142,-2.472084615385,-0.19016035503,-16.611217,-1.277786,36,2.831826,13,2.8568685,0.3611,16,2.7996428,0.4444,7,2.8588779,0.1944,"Deca","E_1st"
"408","deca_Ag_08_Au_05_config_302",-12458.5308,-12458.53499,0.993549,0.17197,5,8,-2.928684615385,-0.225283431953,-2.569783846155,-0.197675680473,-17.564988,-1.351153,36,2.8347754,12,2.820751,0.3333,21,2.8326094,0.5833,3,2.9060421,0.0833,"Deca","E_1st"
"526","deca_Ag_09_Au_04_config_333",-12551.7963,-12551.79597,0.995011,0.17966,4,9,-2.929807692306,-0.225369822485,-2.551693076923,-0.19628408284,-18.402974,-1.415613,37,2.8456368,18,2.8799312,0.4865,18,2.8142135,0.4865,1,2.7939484,0.027,"Deca","E_1st"
"559","deca_Ag_10_Au_03_config_313",-12644.261,-12644.58331,0.996918,0.19425,3,10,-2.13013076923,-0.163856213018,-2.059962307694,-0.158458639053,-18.767311,-1.443639,36,2.8376539,21,2.8333173,0.5833,14,2.8486321,0.3889,1,2.7750418,0.0278,"Deca","E_1st"
"579","deca_Ag_11_Au_02_config_309",-12736.1449,-12736.68226,0.998412,0.21176,2,11,-0.749653846153,-0.057665680473,-0.879841538463,-0.067680118343,-18.443257,-1.418712,37,2.8584237,28,2.861109,0.7568,9,2.8500683,0.2432,0,0,0,"Deca","E_1st"
"5831","deca_Ag_12_Au_01_config_303",-12829.0136,-12830.26446,0.999972,0.19833,1,12,-0.353976923076,-0.027228994083,-1.182970769232,-0.090997751479,-19.602456,-1.507881,35,2.8284178,31,2.8336837,0.8857,4,2.7876081,0.1143,0,0,0,"Deca","E_1st"
"5841","deca_Ag_13_Au_00_config_301",-12921.924,-12922.36056,0.999015,0.22694,0,13,0,0,0,0,-19.275563,-1.482736,37,2.8437507,37,2.8437507,1,0,0,0,0,0,0,"Deca","E_1st"
"16","cubo_Ag_00_Au_13_distorted",-11710.3744,-11710.46222,0.99,0.67304,13,0,0,0,0,0,17.57514,1.351934,36,2.84236,0,0,0,0,0,0,36,2.84236,1,"Cubo","E_Final"
"41","cubo_Ag_01_Au_12_distorted",-11804.2223,-11804.28694,1,0.20713,12,1,-0.610892,-0.046992,-0.584961,-0.044997,16.939254,1.30302,36,2.83361,0,0,0,12,2.83281,0.3333,24,2.83401,0.6667,"Cubo","E_Final"
"6","cubo_Ag_02_Au_11_config_301",-11897.7362,-11897.82204,1,0.18203,11,2,-0.887785,-0.068291,-0.880302,-0.067716,16.592988,1.276384,36,2.83143,1,2.72444,0.0278,15,2.8405,0.4167,20,2.82997,0.5556,"Cubo","E_Final"
"22","cubo_Ag_03_Au_10_config_312",-11990.9377,-11991.37872,0.99,0.16569,10,3,-0.852277,-0.06556,-1.197222,-0.092094,16.225142,1.248088,32,2.80651,1,2.86234,0.0313,11,2.77547,0.3438,20,2.82079,0.625,"Cubo","E_Final"
"25","cubo_Ag_04_Au_09_config_302",-12084.7377,-12085.22656,1,0.18378,9,4,-1.415269,-0.108867,-1.805303,-0.138869,15.566136,1.197395,36,2.84361,4,2.93202,0.1111,19,2.86802,0.5278,13,2.78072,0.3611,"Cubo","E_Final"
"682","cubo_Ag_05_Au_08_config_318",-12178.1157,-12178.27198,0.98,0.13738,8,5,-1.556262,-0.119712,-1.610964,-0.12392,15.70955,1.208427,36,2.82885,4,2.74338,0.1111,24,2.82213,0.6667,8,2.89174,0.2222,"Cubo","E_Final"
"115","cubo_Ag_06_Au_07_config_323",-12271.3076,-12271.4222,1,0.17994,7,6,-1.511154,-0.116243,-1.521425,-0.117033,15.748164,1.211397,36,2.83344,7,2.84903,0.1944,23,2.8258,0.6389,6,2.84453,0.1667,"Cubo","E_Final"
"167","cubo_Ag_07_Au_06_config_321",-12363.9094,-12365.47842,0.99,0.16289,6,7,-0.875946,-0.06738,-2.337885,-0.179837,14.880778,1.144675,37,2.84267,11,2.8785,0.2973,21,2.82656,0.5676,5,2.83152,0.1351,"Cubo","E_Final"
"205","cubo_Ag_08_Au_05_config_305",-12456.9998,-12458.21193,1,0.19808,5,8,-0.729338,-0.056103,-1.831636,-0.140895,15.336102,1.1797,35,2.82535,12,2.8438,0.3429,19,2.80122,0.5429,4,2.88467,0.1143,"Cubo","E_Final"
"258","cubo_Ag_09_Au_04_config_316",-12550.4806,-12550.96419,1,0.21017,4,9,-0.973131,-0.074856,-1.344137,-0.103395,15.772676,1.213283,34,2.82463,16,2.85532,0.4706,16,2.79547,0.4706,2,2.81249,0.0588,"Cubo","E_Final"
"279","cubo_Ag_10_Au_03_config_310",-12643.7403,-12643.87111,1,0.18637,3,10,-0.995823,-0.076602,-1.011298,-0.077792,16.05459,1.234968,36,2.82998,22,2.82332,0.6111,13,2.83539,0.3611,1,2.90635,0.0278,"Cubo","E_Final"
"286","cubo_Ag_11_Au_02_config_304",-12736.6906,-12736.82361,1,0.18751,2,11,-0.709115,-0.054547,-0.724038,-0.055695,16.290924,1.253148,36,2.83548,26,2.83499,0.7222,10,2.83678,0.2778,0,0,0,"Cubo","E_Final"
"289","cubo_Ag_12_Au_01_config_302",-12829.5701,-12829.71237,1,0.16852,1,12,-0.351608,-0.027047,-0.373039,-0.028695,16.590998,1.276231,36,2.83533,31,2.83486,0.8611,5,2.83825,0.1389,0,0,0,"Cubo","E_Final"
"290","cubo_Ag_13_Au_00_distorted",-12922.4555,-12922.57909,0.99,0.56546,0,13,0,0,0,0,16.913112,1.301009,36,2.83631,36,2.83631,1,0,0,0,0,0,0,"Cubo","E_Final"
"17","cubo_Ag_00_Au_13_distorted",-11710.3744,-11710.46222,0.99,0.67304,13,0,0,0,0,0,17.57514,1.351934,36,2.84236,0,0,0,0,0,0,36,2.84236,1,"Cubo","E_1st"
"32","cubo_Ag_01_Au_12_config_301",-11804.2223,-11804.22227,0.98,0.72743,12,1,-0.610892,-0.046992,-0.520291,-0.040022,17.003924,1.307994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cubo","E_1st"
"61","cubo_Ag_02_Au_11_config_301",-11897.7362,-11897.82204,1,0.18203,11,2,-0.887785,-0.068291,-0.880302,-0.067716,16.592988,1.276384,36,2.83143,1,2.72444,0.0278,15,2.8405,0.4167,20,2.82997,0.5556,"Cubo","E_1st"
"14","cubo_Ag_03_Au_10_config_304",-11991.2908,-11991.37584,1,0.2061,10,3,-1.205377,-0.092721,-1.194342,-0.091872,16.228022,1.248309,36,2.82971,2,2.75418,0.0556,18,2.83545,0.5,16,2.83269,0.4444,"Cubo","E_1st"
"251","cubo_Ag_04_Au_09_config_302",-12084.7377,-12085.22656,1,0.18378,9,4,-1.415269,-0.108867,-1.805303,-0.138869,15.566136,1.197395,36,2.84361,4,2.93202,0.1111,19,2.86802,0.5278,13,2.78072,0.3611,"Cubo","E_1st"
"683","cubo_Ag_05_Au_08_config_318",-12178.1157,-12178.27198,0.98,0.13738,8,5,-1.556262,-0.119712,-1.610964,-0.12392,15.70955,1.208427,36,2.82885,4,2.74338,0.1111,24,2.82213,0.6667,8,2.89174,0.2222,"Cubo","E_1st"
"109","cubo_Ag_06_Au_07_config_317",-12271.3194,-12271.40643,1,0.09663,7,6,-1.522954,-0.11715,-1.505655,-0.11582,15.763934,1.21261,36,2.83039,7,2.83646,0.1944,23,2.82701,0.6389,6,2.83624,0.1667,"Cubo","E_1st"
"197","cubo_Ag_07_Au_06_config_351",-12364.5643,-12364.67369,1,0.18093,6,7,-1.530846,-0.117757,-1.533155,-0.117935,15.685508,1.206578,36,2.83103,10,2.84759,0.2778,22,2.80747,0.6111,4,2.91916,0.1111,"Cubo","E_1st"
"234","cubo_Ag_08_Au_05_config_334",-12457.6616,-12457.78916,1,0.18196,5,8,-1.391138,-0.107011,-1.408866,-0.108374,15.758872,1.212221,36,2.83229,14,2.83386,0.3889,19,2.81905,0.5278,3,2.90889,0.0833,"Cubo","E_1st"
"244","cubo_Ag_09_Au_04_config_302",-12550.8574,-12550.93835,1,0.21462,4,9,-1.349931,-0.103841,-1.318297,-0.101407,15.798516,1.21527,34,2.82786,13,2.83867,0.3824,18,2.80008,0.5294,3,2.94769,0.0882,"Cubo","E_1st"
"2791","cubo_Ag_10_Au_03_config_310",-12643.7403,-12643.87111,1,0.18637,3,10,-0.995823,-0.076602,-1.011298,-0.077792,16.05459,1.234968,36,2.82998,22,2.82332,0.6111,13,2.83539,0.3611,1,2.90635,0.0278,"Cubo","E_1st"
"287","cubo_Ag_11_Au_02_config_305",-12736.7066,-12736.81084,1,0.18203,2,11,-0.725115,-0.055778,-0.711268,-0.054713,16.303694,1.25413,36,2.83717,26,2.8344,0.7222,10,2.84436,0.2778,0,0,0,"Cubo","E_1st"
"2891","cubo_Ag_12_Au_01_config_302",-12829.5701,-12829.71237,1,0.16852,1,12,-0.351608,-0.027047,-0.373039,-0.028695,16.590998,1.276231,36,2.83533,31,2.83486,0.8611,5,2.83825,0.1389,0,0,0,"Cubo","E_1st"
"2901","cubo_Ag_13_Au_00_distorted",-12922.4555,-12922.57909,0.99,0.56546,0,13,0,0,0,0,16.913112,1.301009,36,2.83631,36,2.83631,1,0,0,0,0,0,0,"Cubo","E_1st"
"18","Ag_00_Au_13_BBP_config_301_LE.xyz",-11709.4453,-11711.2224,0.995,0.17902,13,0,0,0,0,0,-9.636,-0.7413,32,2.8069,0,0,0,0,0,0,32,2.8069,1,"BBP","E_Final"
"52","Ag_01_Au_12_BBP_config_304_LE.xyz",-11803.0598,-11805.1135,0.993,0.17021,12,1,-0.3292,-0.0253,-0.656,-0.0505,-11.105,-0.8542,34,2.8282,0,0,0,7,2.8684,0.2059,27,2.8177,0.7941,"BBP","E_Final"
"151","Ag_02_Au_11_BBP_config_309_LE.xyz",-11896.5857,-11898.6666,0.994,0.17222,11,2,-0.5697,-0.0438,-0.9738,-0.0749,-12.235,-0.9411,33,2.8166,0,0,0,12,2.8129,0.3636,21,2.8187,0.6364,"BBP","E_Final"
"66","Ag_03_Au_10_BBP_config_335_LE.xyz",-11989.9778,-11992.2423,0.997,0.19832,10,3,-0.6765,-0.052,-1.3143,-0.1011,-13.387,-1.0298,36,2.8414,2,2.9567,0.0556,14,2.7955,0.3889,20,2.8619,0.5556,"BBP","E_Final"
"178","Ag_04_Au_09_BBP_config_366_LE.xyz",-12083.4359,-12085.7166,0.997,0.19994,9,4,-0.8492,-0.0653,-1.5534,-0.1195,-14.439,-1.1107,36,2.8363,3,2.8683,0.0833,19,2.824,0.5278,14,2.8461,0.3889,"BBP","E_Final"
"459","Ag_05_Au_08_BBP_config_452_LE.xyz",-12176.8598,-12179.0886,0.994,0.17609,8,5,-0.9878,-0.076,-1.6902,-0.13,-15.388,-1.1837,36,2.8336,5,2.8651,0.1389,20,2.8134,0.5556,11,2.856,0.3056,"BBP","E_Final"
"801","Ag_06_Au_07_BBP_config_451_LE.xyz",-12270.36,-12272.2693,0.998,0.20212,7,6,-1.2027,-0.0925,-1.6357,-0.1258,-16.145,-1.2419,36,2.84,8,2.935,0.2222,22,2.7972,0.6111,6,2.8703,0.1667,"BBP","E_Final"
