NAME,E_KS (1st),E_Free,Spin,Gap,N_Au,N_Ag,DE1stStep,DE1stSteppa,EEFinal,EEFinalpa,DE_Bulk,DE_Bulk_peratom,NBONDS,AVBONDLEN,NAGAGBONDS,AVAGAGBONDLEN,AGAGRATIO,NAGAUBONDS,AVAGAUBONDLEN,AGAURATIO,NAUAUBONDS,AVAUAUBONDLEN,AUAURATIO,Type
deca_Ag_06_Au_07_config_395,-12270.3367,-12271.530349,0.996760,0.19268,7,6,-1.263338,-0.097180,-2.123284,-0.163330,-15.406349,-1.185104,39,2.8698874,8,2.8124931,0.2051,24,2.8457994,0.6154,7,3.0180697,0.1795,Deca
deca_Ag_06_Au_07_config_396,-12270.2567,-12270.770830,0.995508,0.18011,7,6,-1.183338,-0.091026,-1.363765,-0.104905,-14.646830,-1.126679,37,2.8397746,8,2.7762377,0.2162,21,2.8506851,0.5676,8,2.8746710,0.2162,Deca
deca_Ag_06_Au_07_config_397,-12270.3698,-12271.497752,0.995127,0.18041,7,6,-1.296438,-0.099726,-2.090687,-0.160822,-15.373752,-1.182596,34,2.8359296,7,2.8439596,0.2059,23,2.8424990,0.6765,4,2.7841012,0.1176,Deca
deca_Ag_06_Au_07_config_398,-12270.7116,-12271.629219,0.997134,0.19638,7,6,-1.638238,-0.126018,-2.222154,-0.170935,-15.505219,-1.192709,35,2.8340557,8,2.8478649,0.2286,22,2.8255129,0.6286,5,2.8495510,0.1429,Deca
deca_Ag_06_Au_07_config_399,-12269.5959,-12270.061193,2.995109,0.18206,7,6,-0.522538,-0.040195,-0.654128,-0.050318,-13.937193,-1.072092,37,2.8471408,6,2.8539016,0.1622,18,2.8139918,0.4865,13,2.8899190,0.3514,Deca
deca_Ag_06_Au_07_config_400,-12269.8351,-12271.952511,0.995306,0.18157,7,6,-0.761738,-0.058595,-2.545446,-0.195804,-15.828511,-1.217578,36,2.8380322,6,2.7887466,0.1667,21,2.8417897,0.5833,9,2.8621237,0.2500,Deca
deca_Ag_06_Au_07_config_401,-12271.9967,-12272.001484,0.996811,0.19320,7,6,-2.923338,-0.224872,-2.594419,-0.199571,-15.877484,-1.221345,36,2.8315628,8,2.8760564,0.2222,21,2.8204303,0.5833,7,2.8141086,0.1944,Deca
deca_Ag_06_Au_07_config_402,-12269.9575,-12271.364351,0.996298,0.18871,7,6,-0.884138,-0.068011,-1.957286,-0.150560,-15.240351,-1.172335,35,2.8311539,5,2.8059533,0.1429,22,2.8061788,0.6286,8,2.9155841,0.2286,Deca
deca_Ag_06_Au_07_config_403,-12269.9863,-12271.600504,0.997925,0.20604,7,6,-0.912938,-0.070226,-2.193439,-0.168726,-15.476504,-1.190500,33,2.8152173,8,2.8797987,0.2424,17,2.7745802,0.5152,8,2.8369892,0.2424,Deca
deca_Ag_06_Au_07_config_404,-12270.9518,-12270.951804,0.998117,0.20905,7,6,-1.878438,-0.144495,-1.544739,-0.118826,-14.827804,-1.140600,34,2.8317206,6,2.9208906,0.1765,18,2.8058136,0.5294,10,2.8248518,0.2941,Deca
deca_Ag_06_Au_07_config_405,-12270.1364,-12272.435617,0.998897,0.22501,7,6,-1.063038,-0.081772,-3.028552,-0.232966,-16.311617,-1.254740,36,2.8350194,7,2.8547287,0.1944,21,2.8120294,0.5833,8,2.8781257,0.2222,Deca
deca_Ag_06_Au_07_config_406,-12269.5862,-12270.046944,2.988007,0.15608,7,6,-0.512838,-0.039449,-0.639879,-0.049221,-13.922944,-1.070996,37,2.8462875,7,2.8336606,0.1892,16,2.8198345,0.4324,14,2.8828323,0.3784,Deca
deca_Ag_06_Au_07_config_407,-12270.0145,-12271.877406,0.994346,0.17598,7,6,-0.941138,-0.072395,-2.470341,-0.190026,-15.753406,-1.211800,36,2.8386045,9,2.8469691,0.2500,17,2.8392611,0.4722,10,2.8299603,0.2778,Deca
deca_Ag_06_Au_07_config_408,-12269.8942,-12270.596096,0.996031,0.18659,7,6,-0.820838,-0.063141,-1.189031,-0.091464,-14.472096,-1.113238,39,2.8795114,6,2.9746644,0.1538,20,2.8214297,0.5128,13,2.9249508,0.3333,Deca
deca_Ag_06_Au_07_config_409,-12271.7060,-12271.711666,0.994644,0.17756,7,6,-2.632638,-0.202511,-2.304601,-0.177277,-15.587666,-1.199051,34,2.8172050,7,2.7890198,0.2059,18,2.7967012,0.5294,9,2.8801360,0.2647,Deca
deca_Ag_06_Au_07_config_410,-12272.1328,-12272.158814,0.997845,0.20497,7,6,-3.059438,-0.235341,-2.751749,-0.211673,-16.034814,-1.233447,36,2.8374600,5,2.8291345,0.1389,23,2.8414047,0.6389,8,2.8313198,0.2222,Deca
deca_Ag_06_Au_07_config_411,-12270.2212,-12270.772701,0.992743,0.16847,7,6,-1.147838,-0.088295,-1.365636,-0.105049,-14.648701,-1.126823,37,2.8596995,4,2.9865761,0.1081,22,2.7887347,0.5946,11,2.9554930,0.2973,Deca
deca_Ag_06_Au_07_config_412,-12269.9420,-12270.422479,0.990244,0.15895,7,6,-0.868638,-0.066818,-1.015414,-0.078109,-14.298479,-1.099883,37,2.8504076,5,2.9267633,0.1351,20,2.7980161,0.5405,12,2.9059114,0.3243,Deca
deca_Ag_06_Au_07_config_413,-12270.1576,-12271.175308,0.994030,0.17432,7,6,-1.084238,-0.083403,-1.768243,-0.136019,-15.051308,-1.157793,42,2.9034832,6,2.9935825,0.1429,24,2.8309669,0.5714,12,3.0034678,0.2857,Deca
deca_Ag_06_Au_07_config_414,-12270.2619,-12270.784740,0.997157,0.19568,7,6,-1.188538,-0.091426,-1.377675,-0.105975,-14.660740,-1.127749,37,2.8510091,3,2.8396008,0.0811,24,2.8127508,0.6486,10,2.9462521,0.2703,Deca
deca_Ag_07_Au_06_config_301,-12362.9369,-12363.396745,2.880010,0.08261,6,7,-0.599162,-0.046089,-0.710608,-0.054662,-14.849745,-1.142288,37,2.8467135,8,2.8444202,0.2162,19,2.8163919,0.5135,10,2.9061592,0.2703,Deca
deca_Ag_07_Au_06_config_302,-12363.1071,-12363.572435,0.995230,0.04453,6,7,-0.769362,-0.059182,-0.886298,-0.068177,-15.025435,-1.155803,37,2.8483465,7,2.8620226,0.1892,21,2.8120041,0.5676,9,2.9225066,0.2432,Deca
deca_Ag_07_Au_06_config_303,-12363.0982,-12363.617263,0.995940,0.18502,6,7,-0.760462,-0.058497,-0.931126,-0.071625,-15.070263,-1.159251,37,2.8501577,8,2.8700914,0.2162,19,2.8028469,0.5135,10,2.9240997,0.2703,Deca
