NAME,E_KS (1st),E_Free,Spin,Gap,N_Au,N_Ag,DE1stStep,DE1stSteppa,EEFinal,EEFinalpa,DE_Bulk,DE_Bulk_peratom,NBONDS,AVBONDLEN,NAGAGBONDS,AVAGAGBONDLEN,AGAGRATIO,NAGAUBONDS,AVAGAUBONDLEN,AGAURATIO,NAUAUBONDS,AVAUAUBONDLEN,AUAURATIO,Type,Schoenflies symbol,CSM,RMS,Schoenflies symbol T
Ag_04_Au_09_BBP_config_365.xyz,-12083.4119,-12085.3504,0.991,0.16447,9,4,-0.8252,-0.0635,-1.1872,-0.0913,-14.072,-1.0825,34,2.8205,2,2.7578,0.0588,17,2.807,0.5,15,2.844,0.4412,BBP,NO,,,C2v
Ag_04_Au_09_BBP_config_366_LE.xyz,-12083.4359,-12085.7166,0.997,0.19994,9,4,-0.8492,-0.0653,-1.5534,-0.1195,-14.439,-1.1107,36,2.8363,3,2.8683,0.0833,19,2.824,0.5278,14,2.8461,0.3889,BBP,NO,,,NO
Ag_04_Au_09_BBP_config_367.xyz,-12083.5023,-12085.4815,0.995,0.17902,9,4,-0.9156,-0.0704,-1.3183,-0.1014,-14.203,-1.0926,35,2.8367,2,2.8326,0.0571,20,2.8427,0.5714,13,2.8281,0.3714,BBP,NO,,,C2v
Ag_04_Au_09_BBP_config_368.xyz,-12083.1761,-12085.3209,0.996,0.1864,9,4,-0.5894,-0.0453,-1.1577,-0.0891,-14.043,-1.0802,34,2.8144,2,2.7795,0.0588,18,2.8208,0.5294,14,2.811,0.4118,BBP,NO,,,C2h
Ag_04_Au_09_BBP_config_369.xyz,-12083.3184,-12085.04,0.996,0.18295,9,4,-0.7317,-0.0563,-0.8768,-0.0674,-13.762,-1.0586,34,2.8199,1,2.758,0.0294,17,2.7878,0.5,16,2.8578,0.4706,BBP,NO,,,C2v
Ag_04_Au_09_BBP_config_370.xyz,-12083.5166,-12085.0906,0.996,0.19465,9,4,-0.9299,-0.0715,-0.9274,-0.0713,-13.813,-1.0625,32,2.8044,3,2.8337,0.0938,14,2.7739,0.4375,15,2.8271,0.4688,BBP,Cs,0,0,C2v
Ag_04_Au_09_BBP_config_371.xyz,-12083.4546,-12084.954,0.997,0.19268,9,4,-0.8679,-0.0668,-0.7908,-0.0608,-13.676,-1.052,32,2.8028,3,2.8447,0.0938,14,2.7685,0.4375,15,2.8263,0.4688,BBP,Cs,0.0587,0.0242,C2v
Ag_04_Au_09_BBP_config_372.xyz,-12083.474,-12084.97,1,0.15588,9,4,-0.8873,-0.0683,-0.8068,-0.0621,-13.692,-1.0532,34,2.8243,2,2.9383,0.0588,16,2.7706,0.4706,16,2.8637,0.4706,BBP,C2,0,0.0001,C2v
Ag_04_Au_09_BBP_config_373.xyz,-12083.3383,-12085.1944,0.995,0.17595,9,4,-0.7516,-0.0578,-1.0312,-0.0793,-13.916,-1.0705,34,2.8215,2,2.9007,0.0588,17,2.8105,0.5,15,2.8234,0.4412,BBP,NO,,,C2v
Ag_04_Au_09_BBP_config_374.xyz,-12083.4304,-12085.2057,0.997,0.18742,9,4,-0.8437,-0.0649,-1.0425,-0.0802,-13.928,-1.0714,34,2.823,1,2.9626,0.0294,19,2.8013,0.5588,14,2.8424,0.4118,BBP,NO,,,C2v
Ag_04_Au_09_BBP_config_375.xyz,-12083.2474,-12084.7576,0.994,0.17822,9,4,-0.6607,-0.0508,-0.5944,-0.0457,-13.48,-1.0369,32,2.7969,0,0,0,18,2.7954,0.5625,14,2.7989,0.4375,BBP,C2v,0,0.0005,C2v
Ag_04_Au_09_BBP_config_376.xyz,-12083.0821,-12085.2796,0.999,0.22127,9,4,-0.4954,-0.0381,-1.1164,-0.0859,-14.002,-1.077,35,2.8364,3,2.7935,0.0857,16,2.851,0.4571,16,2.8299,0.4571,BBP,NO,,,C2v
Ag_04_Au_09_BBP_config_377.xyz,-12083.1706,-12085.5024,0.998,0.19835,9,4,-0.5839,-0.0449,-1.3392,-0.103,-14.224,-1.0942,36,2.8392,2,2.8075,0.0556,17,2.811,0.4722,17,2.8711,0.4722,BBP,NO,,,C2v
Ag_04_Au_09_BBP_config_378.xyz,-12083.0814,-12085.4143,0.997,0.1988,9,4,-0.4947,-0.0381,-1.2511,-0.0962,-14.136,-1.0874,36,2.8421,5,2.8729,0.1389,14,2.8157,0.3889,17,2.8549,0.4722,BBP,NO,,,C2v
Ag_04_Au_09_BBP_config_379.xyz,-12083.2798,-12085.5859,0.995,0.17531,9,4,-0.6931,-0.0533,-1.4227,-0.1094,-14.308,-1.1006,36,2.8367,3,2.7989,0.0833,18,2.8526,0.5,15,2.8252,0.4167,BBP,NO,,,C2v
Ag_04_Au_09_BBP_config_380.xyz,-12083.1874,-12085.2386,0.993,0.16859,9,4,-0.6007,-0.0462,-1.0754,-0.0827,-13.961,-1.0739,34,2.8216,3,2.7787,0.0882,16,2.8266,0.4706,15,2.8248,0.4412,BBP,NO,,,C2v
Ag_04_Au_09_BBP_config_381.xyz,-12083.3737,-12085.4488,0.992,0.16255,9,4,-0.787,-0.0605,-1.2856,-0.0989,-14.171,-1.0901,33,2.8089,2,2.7648,0.0606,17,2.8063,0.5152,14,2.8184,0.4242,BBP,NO,,,C2v
Ag_04_Au_09_BBP_config_382.xyz,-12082.8913,-12085.2254,0.997,0.18754,9,4,-0.3046,-0.0234,-1.0623,-0.0817,-13.947,-1.0729,35,2.8287,4,2.8338,0.1143,13,2.8135,0.3714,18,2.8387,0.5143,BBP,NO,,,C2v
Ag_04_Au_09_BBP_config_383.xyz,-12083.166,-12084.9198,0.993,0.16787,9,4,-0.5793,-0.0446,-0.7566,-0.0582,-13.642,-1.0494,34,2.8203,2,2.7719,0.0588,15,2.7891,0.4412,17,2.8535,0.5,BBP,NO,,,C2v
Ag_04_Au_09_BBP_config_384.xyz,-12083.1428,-12085.3278,0.999,0.21028,9,4,-0.5561,-0.0428,-1.1647,-0.0896,-14.05,-1.0808,33,2.8118,4,2.874,0.1212,15,2.7945,0.4545,14,2.8125,0.4242,BBP,NO,,,C2v
Ag_04_Au_09_BBP_config_385.xyz,-12083.4265,-12085.5212,0.995,0.1828,9,4,-0.8398,-0.0646,-1.358,-0.1045,-14.243,-1.0956,34,2.8245,3,2.8878,0.0882,19,2.8302,0.5588,12,2.7996,0.3529,BBP,NO,,,C2v
Ag_04_Au_09_BBP_config_386.xyz,-12083.0598,-12084.9237,0.992,0.16522,9,4,-0.4731,-0.0364,-0.7605,-0.0585,-13.646,-1.0497,33,2.8105,3,2.7472,0.0909,14,2.8214,0.4242,16,2.8129,0.4848,BBP,NO,,,C2v
Ag_04_Au_09_BBP_config_387.xyz,-12083.2016,-12085.2155,0.996,0.18462,9,4,-0.6149,-0.0473,-1.0523,-0.0809,-13.938,-1.0721,34,2.8251,3,2.7977,0.0882,17,2.8476,0.5,14,2.8036,0.4118,BBP,NO,,,C2v
Ag_04_Au_09_BBP_config_388.xyz,-12083.2794,-12085.2488,0.994,0.17604,9,4,-0.6927,-0.0533,-1.0856,-0.0835,-13.971,-1.0747,34,2.8186,3,2.8145,0.0882,16,2.8098,0.4706,15,2.8287,0.4412,BBP,NO,,,NO
Ag_04_Au_09_BBP_config_389.xyz,-12083.3734,-12085.4274,0.992,0.16632,9,4,-0.7867,-0.0605,-1.2642,-0.0972,-14.149,-1.0884,34,2.8218,2,2.8473,0.0588,18,2.8097,0.5294,14,2.8338,0.4118,BBP,NO,,,C2
Ag_04_Au_09_BBP_config_390.xyz,-12083.3115,-12085.4404,0.994,0.17244,9,4,-0.7248,-0.0558,-1.2772,-0.0982,-14.162,-1.0894,34,2.8295,2,2.8176,0.0588,19,2.8405,0.5588,13,2.8153,0.3824,BBP,NO,,,C2v
Ag_04_Au_09_BBP_config_391.xyz,-12083.0904,-12084.9944,0.995,0.17881,9,4,-0.5037,-0.0387,-0.8312,-0.0639,-13.716,-1.0551,34,2.8204,2,2.8323,0.0588,16,2.8056,0.4706,16,2.8336,0.4706,BBP,NO,,,C2
Ag_04_Au_09_BBP_config_392.xyz,-12083.0771,-12084.8064,0.992,0.16762,9,4,-0.4904,-0.0377,-0.6432,-0.0495,-13.528,-1.0406,34,2.8231,2,2.8388,0.0588,15,2.7909,0.4412,17,2.8497,0.5,BBP,NO,,,C2v
Ag_04_Au_09_BBP_config_393.xyz,-12083.1807,-12085.1751,0.995,0.17715,9,4,-0.594,-0.0457,-1.0119,-0.0778,-13.897,-1.069,35,2.832,5,2.824,0.1429,14,2.8492,0.4,16,2.8195,0.4571,BBP,NO,,,C2v
Ag_04_Au_09_BBP_config_394.xyz,-12083.2672,-12085.0305,0.994,0.17667,9,4,-0.6805,-0.0523,-0.8673,-0.0667,-13.753,-1.0579,32,2.804,4,2.8497,0.125,13,2.7685,0.4063,15,2.8226,0.4688,BBP,NO,,,C2v
Ag_04_Au_09_BBP_config_395.xyz,-12083.3449,-12085.3731,0.994,0.17252,9,4,-0.7582,-0.0583,-1.2099,-0.0931,-14.095,-1.0842,33,2.816,4,2.8884,0.1212,16,2.7989,0.4848,13,2.8147,0.3939,BBP,NO,,,NO
Ag_04_Au_09_BBP_config_396.xyz,-12082.9467,-12084.7597,0.994,0.17182,9,4,-0.36,-0.0277,-0.5965,-0.0459,-13.482,-1.0371,33,2.8131,5,2.8026,0.1515,10,2.8057,0.303,18,2.8201,0.5455,BBP,NO,,,NO
Ag_04_Au_09_BBP_config_397.xyz,-12083.1747,-12084.9006,0.995,0.17611,9,4,-0.588,-0.0452,-0.7374,-0.0567,-13.623,-1.0479,34,2.8238,3,2.8249,0.0882,14,2.8007,0.4118,17,2.8425,0.5,BBP,NO,,,C2v
Ag_04_Au_09_BBP_config_398.xyz,-12083.3944,-12085.268,0.993,0.16429,9,4,-0.8077,-0.0621,-1.1048,-0.085,-13.99,-1.0762,34,2.8244,4,2.9023,0.1176,17,2.8228,0.5,13,2.8024,0.3824,BBP,NO,,,NO
